orderNo,vehicleId,stopSeqNo
WIN_4317,V001,1
WIN_IM103490,V001,2
WIN_2355,V001,3
WIN_3916,V001,4
WIN_1646,V001,5
WIN_3179,V001,6
WIN_5366,V001,7
WIN_2559,V002,1
WIN_4327,V002,2
WIN_5415,V002,3
WIN_2072,V002,4
WIN_4425,V002,5
WIN_2092,V002,6
WIN_IM102070,V002,7
WIN_3370,V002,8
WIN_2021,V002,9
WIN_6289,V002,10
WIN_6579,V003,1
WIN_4664,V003,2
WIN_2A95,V003,3
WIN_4770,V003,4
WIN_4645,V003,5
WIN_4973,V003,6
WIN_6603,V003,7
WIN_1619,V004,1
WIN_1598,V004,2
WIN_2AB4,V005,1
WIN_5457,V005,2
WIN_5910,V005,3
WIN_5931,V005,4
WIN_4982,V005,5
WIN_6602,V005,6
WIN_6758,V005,7
WIN_3993,V006,1
WIN_3539,V006,2
WIN_3518,V006,3
WIN_3642,V006,4
WIN_4215,V006,5
WIN_4106,V006,6
WIN_3627,V006,7
WIN_3585,V006,8
WIN_6052,V006,9
WIN_3345,V006,10
WIN_6432,V006,11
WIN_3685,V006,12
WIN_6117,V006,13
WIN_6460,V006,14
WIN_6338,V006,15
WIN_5891,V006,16
WIN_6090,V006,17
WIN_6240,V006,18
WIN_6364,V006,19
WIN_6291,V006,20
WIN_6680,V006,21
WIN_6281,V006,22
WIN_4136,V007,1
WIN_3371,V007,2
WIN_2909,V007,3
WIN_4108,V007,4
WIN_2173,V007,5
WIN_5727,V007,6
WIN_4011,V007,7
WIN_5879,V007,8
WIN_5643,V007,9
WIN_2812,V007,10
WIN_5895,V007,11
WIN_5342,V007,12
WIN_IM103489,V007,13
WIN_4078,V008,1
WIN_4554,V008,2
WIN_4641,V008,3
WIN_3979,V008,4
WIN_4199,V008,5
WIN_5615,V009,1
WIN_4263,V009,2
WIN_3264,V009,3
WIN_3618,V009,4
WIN_2443,V009,5
WIN_3188,V009,6
WIN_2188,V009,7
WIN_4306,V009,8
WIN_5576,V009,9
WIN_2138,V009,10
WIN_2435,V009,11
WIN_2306,V009,12
WIN_2322,V010,1
WIN_2054,V010,2
WIN_IM99561,V010,3
WIN_2321,V010,4
WIN_2167,V010,5
WIN_6091,V010,6
WIN_2758,V010,7
WIN_2071,V010,8
WIN_3180,V010,9
WIN_2254,V010,10
WIN_2015,V010,11
WIN_2441,V010,12
WIN_2141,V010,13
WIN_2759,V010,14
WIN_4135,V010,15
WIN_4799,V010,16
WIN_2085,V010,17
WIN_2256,V010,18
WIN_4810,V010,19
WIN_IM98441,V010,20
WIN_5191,V011,1
WIN_4040,V011,2
WIN_2274,V011,3
WIN_2357,V011,4
WIN_3569,V011,5
WIN_3877,V011,6
WIN_3477,V011,7
WIN_5225,V011,8
WIN_3761,V011,9
WIN_3291,V011,10
WIN_4068,V011,11
WIN_2AD0,V011,12
WIN_5805,V011,13
WIN_3554,V012,1
WIN_3512,V012,2
WIN_3281,V012,3
WIN_3102,V012,4
WIN_5570,V012,5
WIN_5777,V012,6
WIN_5654,V012,7
WIN_4680,V012,8
WIN_5815,V012,9
WIN_4764,V012,10
WIN_5008,V012,11
WIN_5484,V012,12
WIN_4750,V012,13
WIN_6044,V013,1
WIN_2234,V013,2
WIN_4085,V013,3
WIN_2122,V013,4
WIN_3304,V013,5
WIN_5219,V013,6
WIN_3181,V013,7
WIN_3025,V013,8
WIN_2358,V013,9
WIN_2069,V013,10
WIN_4328,V013,11
WIN_2058,V013,12
WIN_2825,V013,13
WIN_3220,V013,14
WIN_2439,V013,15
WIN_2210,V013,16
WIN_5340,V013,17
WIN_IM98365,V013,18
WIN_5584,V014,1
WIN_4565,V014,2
WIN_4140,V014,3
WIN_2361,V014,4
WIN_4116,V014,5
WIN_4418,V014,6
WIN_3014,V014,7
WIN_3145,V014,8
WIN_3225,V014,9
WIN_3130,V014,10
WIN_2303,V014,11
WIN_2082,V014,12
WIN_2020,V014,13
WIN_2AE8,V014,14
WIN_4168,V014,15
WIN_2563,V014,16
WIN_3541,V014,17
WIN_4918,V014,18
WIN_6895,V014,19
WIN_2747,V014,20
WIN_2427,V014,21
WIN_2763,V014,22
WIN_4540,V015,1
WIN_2535,V015,2
WIN_2768,V015,3
WIN_2362,V015,4
WIN_2088,V015,5
WIN_2118,V015,6
WIN_2126,V015,7
WIN_2075,V015,8
WIN_6967,V015,9
WIN_2808,V015,10
WIN_6697,V015,11
WIN_5439,V015,12
WIN_6387,V015,13
WIN_6148,V015,14
WIN_2070,V015,15
WIN_2309,V015,16
WIN_2524,V015,17
WIN_5714,V015,18
WIN_5614,V015,19
WIN_2094,V015,20
WIN_1653,V015,21
WIN_4125,V015,22
WIN_6807,V015,23
WIN_3434,V015,24
WIN_3183,V015,25
WIN_2213,V015,26
WIN_2171,V015,27
WIN_5843,V016,1
WIN_6765,V016,2
WIN_4923,V016,3
WIN_5015,V016,4
WIN_1618,V016,5
WIN_4954,V016,6
WIN_5554,V017,1
WIN_5612,V017,2
WIN_3840,V017,3
WIN_4067,V017,4
WIN_2539,V017,5
WIN_4023,V017,6
WIN_2400,V017,7
WIN_2091,V017,8
WIN_5856,V017,9
WIN_2014,V017,10
WIN_6639,V017,11
WIN_2061,V017,12
WIN_2031,V017,13
WIN_2125,V017,14
WIN_2080,V017,15
WIN_2323,V017,16
WIN_2139,V017,17
WIN_2232,V017,18
WIN_1539,V017,19
WIN_2151,V017,20
WIN_2190,V017,21
WIN_2178,V017,22
WIN_1644,V018,1
WIN_2392,V018,2
WIN_2801,V018,3
WIN_2165,V018,4
WIN_4244,V018,5
WIN_2846,V018,6
WIN_1651,V018,7
WIN_2982,V018,8
WIN_3012,V018,9
WIN_2799,V018,10
WIN_5305,V018,11
WIN_2428,V018,12
WIN_5224,V018,13
WIN_3196,V018,14
WIN_2123,V019,1
WIN_5489,V019,2
WIN_2059,V019,3
WIN_3105,V019,4
WIN_2018,V019,5
WIN_2050,V019,6
WIN_1535,V019,7
WIN_5304,V019,8
WIN_2776,V019,9
WIN_3641,V019,10
WIN_2352,V019,11
WIN_3350,V019,12
WIN_3227,V019,13
WIN_2351,V019,14
WIN_2416,V019,15
WIN_4526,V019,16
WIN_3863,V020,1
WIN_2853,V020,2
WIN_5288,V020,3
WIN_4667,V020,4
WIN_3730,V020,5
WIN_4449,V020,6
WIN_3691,V020,7
WIN_5855,V020,8
WIN_3030,V020,9
WIN_6222,V020,10
WIN_4404,V020,11
WIN_2817,V020,12
WIN_2AG9,V020,13
WIN_5602,V020,14
WIN_2419,V020,15
WIN_2811,V020,16
WIN_2370,V020,17
WIN_2308,V020,18
WIN_2542,V021,1
WIN_5567,V021,2
WIN_2751,V021,3
WIN_2560,V021,4
WIN_6253,V021,5
WIN_5505,V021,6
WIN_6873,V021,7
WIN_5504,V021,8
WIN_2189,V021,9
WIN_1608,V021,10
WIN_5644,V021,11
WIN_2536,V021,12
WIN_2215,V021,13
WIN_2752,V021,14
WIN_2777,V021,15
WIN_3027,V021,16
WIN_2067,V021,17
WIN_3465,V021,18
WIN_4114,V022,1
WIN_4031,V022,2
WIN_2AH8,V022,3
WIN_6770,V022,4
WIN_5495,V022,5
WIN_6315,V022,6
WIN_4671,V022,7
WIN_6502,V022,8
WIN_3755,V022,9
WIN_5155,V022,10
WIN_4601,V022,11
WIN_5750,V022,12
WIN_3497,V023,1
WIN_2063,V023,2
WIN_2807,V023,3
WIN_2233,V023,4
WIN_2995,V023,5
WIN_1669,V023,6
WIN_4525,V023,7
WIN_4033,V023,8
WIN_6777,V023,9
WIN_1661,V023,10
WIN_1645,V023,11
WIN_2A00,V024,1
WIN_4639,V024,2
WIN_5429,V024,3
WIN_5295,V024,4
WIN_5513,V024,5
WIN_5690,V024,6
WIN_5804,V024,7
WIN_5896,V024,8
WIN_5346,V024,9
WIN_2A45,V025,1
WIN_5908,V025,2
WIN_4638,V025,3
WIN_1700,V025,4
WIN_4579,V025,5
WIN_6251,V025,6
WIN_5575,V025,7
WIN_5601,V025,8
WIN_4570,V025,9
WIN_4979,V025,10
WIN_6207,V025,11
WIN_6611,V025,12
WIN_6740,V025,13
WIN_1627,V025,14
WIN_6449,V025,15
WIN_6436,V025,16
WIN_6793,V025,17
WIN_6501,V025,18
WIN_6698,V025,19
WIN_6712,V025,20
WIN_1533,V026,1
WIN_1531,V026,2
WIN_1665,V026,3
WIN_6434,V027,1
WIN_6513,V027,2
WIN_2AB9,V027,3
WIN_3435,V027,4
WIN_3313,V027,5
WIN_6045,V027,6
WIN_3643,V027,7
WIN_4141,V027,8
WIN_6399,V027,9
WIN_3343,V027,10
WIN_1564,V027,11
WIN_3407,V027,12
WIN_4093,V027,13
WIN_3464,V027,14
WIN_3656,V027,15
WIN_6529,V027,16
WIN_6750,V027,17
WIN_5689,V027,18
WIN_2AD3,V027,19
WIN_6270,V027,20
WIN_6562,V027,21
WIN_1649,V027,22
WIN_5918,V027,23
WIN_5947,V027,24
WIN_5944,V027,25
WIN_5943,V027,26
WIN_6264,V027,27
WIN_2A66,V027,28
WIN_6375,V028,1
WIN_6374,V028,2
WIN_1678,V028,3
WIN_6982,V028,4
WIN_5729,V028,5
WIN_6526,V028,6
WIN_6512,V028,7
WIN_6175,V028,8
WIN_2A24,V028,9
WIN_6493,V028,10
WIN_5692,V028,11
WIN_6725,V028,12
WIN_6878,V028,13
WIN_2AG0,V028,14
WIN_6510,V028,15
WIN_6551,V028,16
WIN_6696,V028,17
WIN_6753,V028,18
WIN_1537,V029,1
WIN_4760,V029,2
WIN_5709,V029,3
WIN_2AD6,V029,4
WIN_6371,V029,5
WIN_4830,V029,6
WIN_4702,V029,7
WIN_4738,V029,8
WIN_6624,V029,9
WIN_6586,V029,10
WIN_6575,V030,1
WIN_2A28,V030,2
WIN_6625,V030,3
WIN_6194,V030,4
WIN_4599,V030,5
WIN_4604,V030,6
WIN_5292,V030,7
WIN_5540,V030,8
WIN_2A99,V030,9
WIN_4633,V030,10
WIN_4928,V030,11
WIN_5642,V030,12
WIN_5283,V030,13
WIN_5221,V030,14
WIN_4631,V030,15
WIN_4582,V030,16
WIN_6369,V030,17
WIN_4571,V030,18
WIN_5282,V030,19
WIN_5192,V030,20
WIN_4920,V030,21
WIN_6112,V030,22
WIN_4874,V030,23
WIN_6162,V030,24
WIN_4605,V030,25
WIN_5072,V030,26
WIN_4637,V030,27
WIN_4581,V030,28
WIN_2AC6,V031,1
WIN_6628,V031,2
WIN_6627,V031,3
WIN_6393,V031,4
WIN_6836,V031,5
WIN_2A41,V031,6
WIN_6243,V031,7
WIN_6155,V031,8
WIN_6516,V031,9
WIN_4580,V031,10
WIN_5073,V031,11
WIN_6110,V031,12
WIN_4632,V031,13
WIN_4971,V031,14
WIN_6177,V031,15
WIN_4627,V031,16
WIN_4720,V031,17
WIN_4654,V031,18
WIN_5325,V031,19
WIN_1701,V031,20
WIN_4958,V031,21
